id|tweet_text|text|emojis|sentiment_label|emoji_labelsarcasm_label
1191701810446094336|"@FAUZI07755348 @GilbertSinuling @MustofaMasut @HusinShihab @RizmaWidiono @jokowi @aniesbaswedan @adtaufiq @GagakNew @WahhabiCC @03_nakula @amrudinnejad_ @Pertapatua_ @BadjaNuswantara @AryPrasetyo_85 @ulinyusron @ProfYLH Situ waras 🙄
yg saya komplen skrng?? 
yg skrng itu parah banget amburadul semerawut,, 
Gak transparan uang ya?? 
Hasil kerja ya ancur lebur 😂😂
Udah bener trotoar di tata fungsi ya malah gubernur ya ngizinin buat dagang PKL,,
Kelebihan pinter dia sampe bikin org jadi bodoh 😂"|situ waras komplain parah banget amburadul beranta transparan uang hasil kerja hancur lebur bener trotoar tata fungsi gubernur izin dagang pintar bikin orang bodoh|🙄,😂,😂,😂|1|1|0
1190115560371044352|"@Fahrihamzah @prabowo Saya suka pernyataan bagian akhir "" Penuh Trauma Kepada Jenggot, Cadar, Celana cingkrang dll"" .. Puji Tuhan Beliu akhirnya Hari ini bisa Lepas dari cengkraman mereka , Dan sungguh2 mengabdi tanpa embel2.🇮🇩"|suka nyata penuh trauma jenggot cadar celana cingkrang puji tuhan beliau lepas genggam sungguh abdi embel|🇮,🇩|0|2|0
1192123951662546944|"@hanifyahyaasya1 @Ochi__BQ09 @_doncorleone78_ @prabowo Sambutan dari hati yg tulus, yg sdh lama ditunggu2 😊😍

""Selamat dtg pahlawan muda Lama nian kami rindukan kamu
Bertahun2 bercerai mata
Kini kita dpt berjumpa pula"". https://t.co/bijXXmpbFb"|sambut hati tulus tunggu selamat pahlawan muda nian rindu cerai mata jumpa|😊,😍|0|1|1
1191636601727668224|@CumiCue @Boemi_Pertiwi12 @jokowi @novelbaswedan @ditkrimsusPMJ @DivHumas_Polri @CCICPolri HARUSNYA SURUH GANTI RUGI MASA UANG NEGARA BUAT FOYA2 🤯🤯🤯|suruh ganti rugi uang negara foya|🤯,🤯,🤯|0|2|0
1192236968760922112|"@msaid_didu @prabowo Ga manusia merdeka lagi sekarang?
😁😁😁😁"|manusia merdeka|😁,😁,😁,😁|0|1|1
1191704426202796032|@Zulkifllubis71 @prabowo Memangnya apa pangkat si MONYET @bonihargens kok minta MENHAN untuk me-LURUS kan UAS dan ustad Felix Siauw... Sedangkan si SONTOLOYO itu sendiri orang yang TERSESAT...👎👎👎🐸🔨|pangkat monyet menteri tahan lurus ustad felix siauw sontoloyo orang sesat|👎,👎,👎,🐸,🔨|0|2|0
1192468898827816961|@jokowi_maning @mochamadarip @aniesbaswedan ngekek sy bacanya gubernur bab😂😂|ngekek baca gubernur bab|😂,😂|0|1|1
1192691385318535168|@jokowi Pak saya ingin ibu kota di pindah di pati pak soalnya biar saya bisa uplod instastory bagus pak 😂😊|kota pindah pati biar unggah instastory bagus|😂,😊|1|1|0
1191931750978600960|Sejak 2016 sudah impor cangkul. Kenapa baru sekarang Pak Jokowi marahnya? Untung saja beliau tidak kaget dan heran 🤣🤣|impor cangkul jokowi marah untung beliau kaget heran|🤣,🤣|0|1|1
1191673833926737920|"@LinaPAnandya @Sarah_Pndj Jika yg terjadi ternyata
Puan Anies vs Prabowo MMD
bagiamana??

Partai pengusung P A (PDIP, Golkar, Nasdem, PKS)
Partai pengusung P M (Gerindra, PKB, PPP, PAN, Demokrat)

Berandai-andai aja sih
😀😀😀"|nyata puan anis lawan prabowo partai usung pdip golkar nasdem partai usung gerindra pan demokrat beranda andai|😀,😀,😀|0|1|1
1190252407575310336|@Dahnilanzar @Emafatimah40646 @dr_koko28 @prabowo Hooh,,yg benci gak butuh penjelasan butuh nya nyinyiran🙈🙈|iya benci butuh butuh nyinyir|🙈,🙈|1|2|0
1190313812383039488|@AlaUmamil @GusMuwafiq jgnLah .. cape gue kelahi mulu ? hahahahha .. benar tuh kata om @prabowo .. musuh kita cuma 1 SAAT kini yaitu KHILAFAH 😂😂😂😂😂😂|cape kelahi mulu hahahaha om musuh khilafah|😂,😂,😂,😂,😂,😂|0|1|1
1190512236365664256|"Jokowi bongkar alasan mengapa pilih prabowo jadi menhan ❌❌❌
Nia ramadhani bongkar alasan tak bisa kupas salak ☑️☑️☑️☑️

I'm dying. https://t.co/uaXbDKj5uc"|jokowi bongkar alas pilih prabowo menteri tahan nia ramadhani bongkar alas kupas salak mati|❌,❌,❌,☑,☑,☑,☑|0|2|0
1189933230461374464|@Je_Ly @Dahnilanzar @prabowo Jelas sekarang, Dahnil cuma juru Hoak!  😀😁|dahnil juru kabar bohong|😀,😁|1|1|0
1192991066712158212|"@detikcom @AngrySipelebegu Setelah 2 tahun lebih terus mereka pake tanya : “kok wajahnya masih mulus?” 😂😂😂
Yg nuduh ini rekayasa, trus biaya yg dikeluarin Negara juga rekasaya dong ya? 😂😂😂😂

https://t.co/iUoRkXrxpj"|pakai wajah mulus tuduh rekayasa biaya negara rekayasa|😂,😂,😂,😂,😂,😂,😂|1|1|0
1190177438820528128|@devy215 @Gerindra @Dahnilanzar @prabowo Saya lebih percaya pak Menhan, Letjen (Purn) @prabowo  daripada sang jubirnya. Dari musim pilpres kemarin asek blunder saja jubirnya itu,, Hoyong Awak Tante 😁😁 https://t.co/lkmZH3A9hh|percaya menteri tahan letjen purnawirawan sang juru bicara musim pilih presiden kemarin asik gagal juru bicara awak tante|😁,😁|1|1|0
1192584404138262528|"@NEW__ASA @MichelAdam__ @prabowo Ntar ada sambutan tandingan...  Sambil Joget Dan terhalang histeris yg Ujung ujungnya bayaranya kurang..... 😀😀😀😀😀

#menhanrasapresiden 
#menhanrasapresiden"|sambut tanding joget halang histeris ujung ujung bayar|😀,😀,😀,😀,😀|0|1|1
1191399866993393664|"@hnurwahid @SetiadiYudizaza @jokowi kmren 5th disebelahnya ngapain aja ?
Luv U pull @jokowi  😍😍

#BubarkanBPJS"|kemarin belah cinta pul|😍,😍|1|1|0
1191355887287296009|@Happy274551441 @ERNA_HAN18 @Fredi82095256 @arisutrisna_ari @ustadtengkuzul Jokowi gak pernah salahkan org lain?? Hanya cebong togog bloon yg percaya!!! 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/Q1nyULd9JE|jokowi salah orang cebong bodoh bodoh percaya|🤣,🤣,🤣,🤣,🤣,🤣,🤣,🤣,🤣,🤣,🤣,🤣,🤣,🤣,🤣,🤣|0|1|1
1192001209810292736|@Adr_Nnaa @jokowi @basuki_btp Yessssss taptullll... Ga ada kencing,,, ng'lem pun jadi... Hhee... 😂😂😂🙏👍|mantap kencing bangun lem he|😂,😂,😂,🙏,👍|0|1|1
1191911174826147840|@benibahtiar19 @KanjengRatuAyu1 @jokowi 😂🤣🤭😂sudah import, ngambilnya yang bekas pula 😂🤭😂 https://t.co/x90NdPcRzG|impor ambil bekas|😂,🤣,🤭,😂,😂,🤭,😂|1|1|0
1190164390143594497|@faisalsaimima @SalehRamli1 @Dahnilanzar @prabowo Hayok dah dukung ketua saleh.. 😊😊👍👍|ayo dukung ketua saleh|😊,😊,👍,👍|1|1|0
1189877159948509184|@JauryJss Ckckck..... @Dahnilanzar, ijin pak @prabowo dulu napa baru ngemeng atas nama beliau... hadehhh..🤦🏽‍♂️|ckckck izin bicara nama beliau hadeh|🤦,🏽,♂|0|2|0
1192030012448206848|"@idtodaydotco Salah satu yang berhak menerima Zakat adalah GHORIM yaitu orang yg memiliki BANYAK HUTANG.

Apakah Pak Jokowi termasuk GHORIM??? 🤭😅😁
_____
Ma'ruf Ungkap Potensi Zakat Indonesia Capai Rp 230 Triliun
https://t.co/Izr9RRjU2A https://t.co/FbAb5WOEKg"|salah hak terima zakat orang lilit hutang orang milik hutang jokowi masuk orang lilit hutang ma potensi zakat indonesia capai triliun|🤭,😅,😁|0|1|1
1191600260994387968|@jokowi Terima kasih Bapak Presiden.  Ruas jalan Atambua ( Kabupaten Belu ) ke Haekesak yg sdah beraspal, listrik smpai ke pelosok, di tambah lagi jaringan 4G. Selamat berkerja buat Indonesia 5 tahun ke dpan lagi. Semoga yg lain bisa merasakan pembangunan juga 💖💖💖💖 https://t.co/RAAI2QjMQz|terima kasih presiden ruas jalan atambua kabupaten belu haekesak aspal listrik pelosok jaring selamat kerja indonesia moga bangun|💖,💖,💖,💖|0|1|1
1191209830255493121|"🧕 : Jadi ya adek-adek dalam bekerja itu presiden jokowi dibantu oleh menteri keuangan, nah kalau menteri keuanagn dibantu oleh?
👶 : Presiden Jokowi

Baiq👌👌"|adik adik kerja presiden jokowi bantu menteri uang menteri keungan bantu presiden jokowi|🧕,👶,👌,👌|0|1|1
1190563334543659008|@_garuda501 @prabowo Sate dan nasi goreng..kuliner indonesia mbah😔😹😸|sate nasi goreng kuliner indonesia mbah|😔,😹,😸|0|1|1
1192044514778603521|"@R4jaPurwa @jokowi Gaosah heraaannnn... 😸🤓
Bachin Togogers Cebongers Kodokers aje ga pernah heran... bangga malahan 😅"|heran bachin togogers cebongers dukung kodok heran bangga|😸,🤓,😅|0|1|1
1191188228822323200|@budimandjatmiko Kalo ada yg mengobrak Abrik semua hal2 teduh jadi infrastruktur di Jakarta seperti pak @jokowi gmn om, jengkel jg gak ya ... 😛🤣🤣|acak acak teduh infrastruktur jakarta gimana om jengkel|😛,🤣,🤣|1|1|0
1190034879976595456|"@Dahnilanzar @Kemhan_RI @prabowo Broh... 😂
Malu2in halak batak aja 🤦🏻‍♂️"|mas malu halah batak|😂,🤦,🏻,♂|0|1|1
1191898719261577217|"Woi sempak merah..!!!

Apa sih salah @prabowo dan @aniesbaswedan sama kau?
Tiap saat hanya 2 org ini yg lu nyinyirin?
Ehhh, jangan2 lu nih kelainan jiwa ya?
Koq bisa @PDemokrat piara makhluk idiot kek gini ya?
😡😡😡 https://t.co/dXctLfomAE"|sempak merah salah kau orang gunjing eh nih jiwa piara makhluk idiot kek gin|😡,😡,😡|0|2|0
1190467251943534592|@herikus70 @Mukhtar07120731 @zaenalkase03 @Galih_Akik @7brn_ @hatehti @Rusty12087384 @Ute58221550 @MaryanaNunung @RizkiR4madani @MARQUEZ59454550 @MoelyonovDjalil @jackymanise Iyaa gan sm?? Smg prabowo tolak prmintaan 212 wiro sableng🙈 🤣🤣🤣🤣|iya moga prabowo tolak wiro sableng|🙈,🤣,🤣,🤣,🤣|0|1|1
1191224220878917632|@TheArieAir Di kepimpinan pak jokowi mampu di laksakan,dengan banyaknya benturan termasuk  nyiyiran,tdk makan tol😄😄😄,|pimpin jokowi laksa bentur masuk gunjing makan tol|😄,😄,😄|1|1|0
1192776694328745984|@YogaAdrianyoga6 @jokowi Sdh lakukan apa anda utk Indonesia? Pak Jokowi punya mimpi bukan buat dia dan keluarga tp buat masa depan bangsa dan negara Indonesia, jauh kedepan. Target beliau sdh diperhitungkan, th 2045 Indonesia jd negara maju didunia. Bantu bkn nyinyir. Yuukz👍🏼👍🏼👍🏼|laku indonesia jokowi mimpi keluarga bangsa negara indonesia target beliau hitung indonesia negara maju dunia bantu nyinyir yuk|👍,🏼,👍,🏼,👍,🏼|0|2|0
1192205499216752641|Ini ibu sama nenek ngomongin sekolah bayar-bayar, terus tiba-tiba bilang Jokowi sekolahin anaknya gak usah bayar soalnya takut yang mau narik... Padahal anak-anak Jokowi dah pada graduate semua 😭😭😭|nenek sekolah bayar bayar bilang jokowi sekolah anak bayar takut tarik anak anak jokowi lulus|😭,😭,😭|0|0|0
1192075995617980416|@ChatibBasri @himenina Saya yakin kabinet kedua rezim @jokowi akan jadi kabinet terburuk sepanjang sejarah indonesia pasca demokrasi👏👏|kabinet rezim kabinet buruk sejarah indonesia demokrasi|👏,👏|0|2|0
1190108207122763776|@olenk55 @zhafira_ziva @prabowo Tiap hari jg gue ngarep tong, ngarep indonesia yg lbh baik, pak jokowi yg lbh amanah dn tnt saja ngarep lu pny harapan ga hopeless lagi tonk🤣🤣|harap tong harap indonesia jokowi amanah harap harap harap tong|🤣,🤣|0|1|1
1189899629074112512|@Dahnilanzar @Kemhan_RI @prabowo Nah itu sebenarnya lebih bermanfaat bgd daripada gak di ambil kan nanti uangnya di makan jin dan sebangsanya disana 🤣🤣🤣|manfaat ambil uang makan jin bangsa|🤣,🤣,🤣|1|1|0
1190163308965294081|@tempemendoanGL7 Anis Baswedan tetep yang terbaik 🤣🤣 dalam mengolah kata|anis baswedan olah|🤣,🤣|1|1|0
1191534479816318976|@jokowi Gasss pakkkk!! Diriku selalu mendukungmu! i purple u💜💜💜💜💜|gas dukung purple|💜,💜,💜,💜,💜|0|2|0
1192849675218374656|@unicornbervespa @edo__________ @mrayhann__ @anjingpemberani @untruthcupid @jokowi Kenapa ai km mara2 ☹️☹️|ai mara|☹,☹|1|0|1
1191635953204391936|@AhlulQohwah Kirain gara2 jokowi.....😂🤣|gara jokowi|😂,🤣|1|1|0
1191364434612015104|@Jason_bourne81 @LukmanNu12 @jokowi @shinichikudo991 @03_nakula @TaliUdeng @BadjaNuswantara @AditiaP_07 @AnakLolina @adtaufiq Artinya tinggal Prof Romli ya 👍😊|arti tinggal prof romli|👍,😊|1|1|0
1191992825631498240|@KalimahLayang @jokowi @basuki_btp @SuaraAnies Junjungan lo udh KO di jakarta.. mau cari suara setan.. suara gondorowo..🤣🤣🤣 TAI LO MAS|junjung udah jakarta cari suara setan suara gondorowo kotor mas|🤣,🤣,🤣|0|1|1
1189910455772315650|"Jangan mudah tergelincir dalam saat-saat seperti ini, segala tipu muslihat dan provokasi-provokasi yang tampak atau tersembunyi dapat dilalui dengan selamat, kalau kita waspada dan bertindak sebagai patriot!

PB Jend Sudirman
Jogja, 4 Oktober 1949

#BravoTNI🇮🇩
@tni_ad
@Puspen_TNI https://t.co/DGmPd62uyu"|mudah gelincir tipu muslihat provokasi provokasi sembunyi selamat waspada tindak patriot jendral sudirman joga oktober|🇮,🇩|1|2|0
1191711678162845697|@jokowi @jokowi@AnisSerin Pak sanqat sepakat denqan apa yanq bapak katakan itu🙏 pendidikan adalah fondasi banqsa💕👍|sepakat didik fondasi bangsa|🙏,💕,👍|0|2|0
1192381068424253440|@KanjengRatuAyu1 @KilljoyYadi @jokowi 🤭🤣🤣🤣 jadi, nenek sdh tidak ngidam monyet kan? 🤣😂|nenek monyet|🤭,🤣,🤣,🤣,🤣,😂|1|1|0
1189875517308035073|"BRO,
Sebaiknya beliau jangan diseret ke isu kecil soal gaji dan mobil..ayo jawab soal isu2 besar terkait integrasi bangsa kita..bangsa ini memerlukan pak @prabowo untuk membangun kepercayaan dirinya yang penuh trauma kepada jenggot, cadar, celana Cingkrang..dll😃😃 https://t.co/xA10jyIS1T"|beliau seret isu gaji mobil ayo isu kait integrasi bangsa bangsa bangun percaya penuh trauma jenggot cadar celana cingkrang|😃,😃|0|1|1
1193049225283690497|"@sundaruu @mitzuo @drien0809 @pandji @aniesbaswedan 🤣🤣🤣..devisit gara2 pujaan Lo Jokowi di pusat nunggak uang DKI 🤣🤣🤣..nampar Jokowi ya😂😂
https://t.co/79vpUZlrHp"|devisit gara puja jokowi pusat tunggak uang tampar jokowi|🤣,🤣,🤣,🤣,🤣,🤣,😂,😂|1|1|0
1192338765940813824|"@jokowi Tanpa adanya penggundulan hutan dan sisahkan satwa"" yg unik dan imut itu untuk berkembang biak di sana 🤗🤗"|gundul hutan sisa satwa unik gemas kembang biak|🤗,🤗|1|1|0
1189873339222769665|@Dahnilanzar @Kemhan_RI @prabowo Untung udah gak jadi akademisi lagi, dan beruntung bukan  hidup di Jepang. 😂😂😂😂|untung akademisi untung hidup jepang|😂,😂,😂,😂|1|1|0
1192681721356906496|@Kemhan_RI @prabowo Semangat terus jenderal semoga Allah selalu memberikan bapak kesehatan ❤️❤️❤️|semangat jenderal moga alah sehat|❤,❤,❤|1|2|0
1191509463737368576|@MSApunya @jokowi Udah periode ke 2 kirain dah pinter ternyata masih teteeeep 😃😃|periode pintar nyata|😃,😃|0|1|1
1192459637842333702|@Anna_MaSue Udahlah yg pasti itu semua salahnya Pak Anis baswedan, sebagus apapun prestasi beliau ttp aja salah.. Dijelasin bgmnpun jg ttp salah.. 😁😁|salah anis baswedan bagus prestasi beliau salah salah|😁,😁|0|1|1
